"Chat Window Header Color","Chat Window Header Color"
"select chat window header color.","select chat window header color."
"Chat Window Header Text Color","Chat Window Header Text Color"
"select chat window text color.","select chat window text color."
"Admin Chat Window Option","Admin Chat Window Option"
"Chat User Panel Window Background Color","Chat User Panel Window Background Color"
"select chat list window background color.","select chat list window background color."
"Chat User Panel Window Text Color","Chat User Panel Window Text Color"
"select chat list window text color.","select chat list window text color."
"Chat User List Background Color","Chat User List Background Color"
"Chat User List Text Color","Chat User List Text Color"
"Agent Information","Agent Information"
"Assign Chat To","Assign Chat To"
"Assign Chat","Assign Chat"
"Are you sure to assign selected chat to agent?","Are you sure to assign selected chat to agent?"
"Assigned To","Assigned To"
"Assigned On","Assigned On"
"Agent ID","Agent ID"
"Agent Email","Agent Email"
Sender,Sender
Receiver,Receiver
"Dated on","Dated on"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
Delete,Delete
Approve,Approve
Disapprove,Disapprove
ID,ID
"Rating Star","Rating Star"
"Report By","Report By"
Subject,Subject
Description,Description
