"Border Color","Border Color"
"Deal Pages","Deal Pages"
"All Deals Page","All Deals Page"
"Select Yes to configure the All-deals page","Select Yes to configure the All-deals page"
"Show Links","Show Links"
"Select a position to place the link to the All-deals page","Select a position to place the link to the All-deals page"
Route,Route
"the path. Eg: if you set the link title ""dailydeal"", the page URL will be: example.com/dailydeal.html","the path. Eg: if you set the link title ""dailydeal"", the page URL will be: example.com/dailydeal.html"
"Page Title","Page Title"
"The title of the All-deals page","The title of the All-deals page"
"New Deals Page","New Deals Page"
"Select Yes to configure the New Deals page","Select Yes to configure the New Deals page"
"Select a position to place the link to the New Deals page","Select a position to place the link to the New Deals page"
"the path. Eg: if you set the link title ""new-deal"", the page URL will be: example.com/new-deal.html","the path. Eg: if you set the link title ""new-deal"", the page URL will be: example.com/new-deal.html"
"The title of the New Deals page","The title of the New Deals page"
"Bestseller Deals Page","Bestseller Deals Page"
"Select Yes to configure the Bestseller Deals page","Select Yes to configure the Bestseller Deals page"
"Select a position to place the link to the Bestseller Deals page","Select a position to place the link to the Bestseller Deals page"
"the path. Eg: if you set the link title ""bestseller-deal"", the page URL will be: example.com/bestseller-deal.html","the path. Eg: if you set the link title ""bestseller-deal"", the page URL will be: example.com/bestseller-deal.html"
"The title of the Bestseller Deals page","The title of the Bestseller Deals page"
"Featured Deals Page","Featured Deals Page"
"Select Yes to configure the Featured Deals page","Select Yes to configure the Featured Deals page"
"Select a position to place the link to the Featured Deals page","Select a position to place the link to the Featured Deals page"
"the path. Eg: if you set the link title ""feature-deals"", the page URL will be: example.com/feature-deals.html","the path. Eg: if you set the link title ""feature-deals"", the page URL will be: example.com/feature-deals.html"
"The title of the Featured Deals page","The title of the Featured Deals page"
"Sidebar Widget","Sidebar Widget"
"Select Yes to turn on the sidebar widget","Select Yes to turn on the sidebar widget"
"Random Deal","Random Deal"
Show,Show
"Select Yes to enable the Random Deal block","Select Yes to enable the Random Deal block"
"Block Title","Block Title"
"The title of the block","The title of the block"
"The position to place the block","The position to place the block"
Limit,Limit
"The maximum number of items which are allowed to show up in the block","The maximum number of items which are allowed to show up in the block"
"Top Selling Deal","Top Selling Deal"
"Select Yes to enable the Top Selling Deal block","Select Yes to enable the Top Selling Deal block"
"Upcoming Deal","Upcoming Deal"
"Select Yes to enable the Upcoming Deal block","Select Yes to enable the Upcoming Deal block"
"Floating Deal Slider","Floating Deal Slider"
"Select Yes to enable the Floating Slider Deal block","Select Yes to enable the Floating Slider Deal block"
"Show on mobile","Show on mobile"
"Select Yes to enable the Floating Slider Deal block on mobile","Select Yes to enable the Floating Slider Deal block on mobile"
"Number of Deals","Number of Deals"
"Show again after","Show again after"
"seconds. The floating bar will not be shown again if customer closes it. It will appear again after this configured time. Set it 0 or leave it blank not to display the slider again until customer reloads the page or opens a new page.","seconds. The floating bar will not be shown again if customer closes it. It will appear again after this configured time. Set it 0 or leave it blank not to display the slider again until customer reloads the page or opens a new page."
Snippet,Snippet
"Automatic Create Deal","Automatic Create Deal"
"Schedule For","Schedule For"
"Set up the schedule in which deals are created automatically.","Set up the schedule in which deals are created automatically."
"Start Time","Start Time"
"Apply for Categories","Apply for Categories"
"Special Price (Percent)","Special Price (Percent)"
"Apply as percentage of original","Apply as percentage of original"
"Number Product Created","Number Product Created"
"Number of products generated per cron run","Number of products generated per cron run"
"Default: 10","Default: 10"
Day(s),Day(s)
"Default: 1 day","Default: 1 day"
"Add New Deal","Add New Deal"
"Store View","Store View"
Delete,Delete
"Delete Deal(s)","Delete Deal(s)"
"Are you sure want to delete selected Deal(s)?","Are you sure want to delete selected Deal(s)?"
ID,ID
"Sale Qty","Sale Qty"
