sku,product_type,categories,name,description,weight,product_online,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,product_approval,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,additional_images,custom_options,additional_attributes,downloadable
SKU 7684574,simple,Default Category,Water Dispenser,"Homebasix MYL10S-W-2HC-3L Water Dispensers, 2-Tap, 3 Or 5 Gallon Fits 3 and 5 gal. water bottles. Offers hot and cold water dispensing and 0.5 cu.ft. storage compartment for home or office. Compressor-cooled water for drinking, or hot water for instant beverages and soups. Spill-proof piercing valve and illuminated, ready-to-dispense indicator. Removable drip tray for easy clean-up. Water bottles not included.",60,1,"Catalog, Search",300,250,,,water-dispenser,"Water, Dispenser",,Water_large_308.jpg,Water_large_308.jpg,Water_large_308.jpg,Water_large_308.jpg,Water_large_308.jpg,Water_large_308.jpg,,,Disapproved,250,0,1,0,0,1,1,1,10000,1,1,,,,,,,,Water_large_308.jpg,,,FALSE
SKU 0843623,simple,Default Category,Danby Compact Refrigerator,"Danby DAR026A1BDD Refrigerator, Compact. The energy efficient Danby Designer compact 'all fridge' has a capacity of 2.6 cubic feet providing ample space for one. Just over 2 feet tall this model can be placed on a counter top or floor and could be a great addition to the dorm room. Features a mechanical thermostat, automatic defrost system and scratch resistant work top. Includes the Canstor beverage dispensing system and tall bottle storage, which can hold large soda bottles. Includes 2.5 wire shelves for maximum storage versatility, reversible door swing for convenient left or right hand opening and integrated door handle. Scratch resistant work top. Energy Star rated. Black. Dimensions: 17-10/16",100,1,"Catalog, Search",500,450,,,danby-compact-refrigerator,"Fridge, Freezer, Refrigerator",,Fridge_large_328.jpg,Fridge_large_328.jpg,Fridge_large_328.jpg,Fridge_large_328.jpg,Fridge_large_328.jpg,Fridge_large_328.jpg,,,Disapproved,100,0,1,0,0,1,1,1,10000,1,1,,,,,,,,Fridge_large_328.jpg,,,FALSE
